run_id,plan,method,config_path,seed,parent_checkpoints,steps,batch_size,context,processed_targets_including_ancestry,parameters,hardware,threads,train_precision,train_seconds,validation_seconds,test_seconds,peak_ram_gb,peak_gpu_allocated_gb,validation_bpb,test_bpb,checkpoint_sha256,selected_on,notes
baseline-s17,,model,,17,,1200,32,256,9830400,1088256,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,359.9,6.8,7.7,0,0,2.071088,2.101266,39cf35a0bafeab719d61b8d24b832520464d33faf4f4b2c0a77045372a7e551c,validation,
baseline-s18,baseline-seeds,model,configs/baseline.json,18,,1200,32,256,9830400,1088256,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,361.2,6.7,,1.65,0,2.073161,,88547c2d6d35db9d9efd09239e14db5c2c47ce91eb823af6eec318fb237c4b81,validation,seed-noise estimate for the classroom baseline
baseline-s19,baseline-seeds,model,configs/baseline.json,19,,1200,32,256,9830400,1088256,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,339.3,6.6,,1.65,0,2.078641,,b59e47d282a5dca577063464f9c8972c6d75e56691b146c7fcd5deef2ef8a93f,validation,seed-noise estimate for the classroom baseline
deep192x7-s17,deep192x7,student,configs/deep192x7.json,17,,3600,32,256,29491200,3492672,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3797.4,19.6,,2.12,0,1.64738,,d6a169af3a12a529f7d77dcfc39d1ac86f5a2d16de9e2169cffbab98019f4441,validation,"depth axis: width 192 x depth 7 (3.49M params, same budget as wide256)"
deep224x5-s17,deep224x5,student,configs/deep224x5.json,17,,3600,32,256,29491200,3470656,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3242.9,17.0,,1.97,0,1.641882,,5aab4f0ef7813c5181cacead282551089df4ed60a699dd9cffb8fffa885e8191,validation,"depth axis: width 224 x depth 5 (3.47M params, same budget as wide256)"
gpu-anchor-6x-do-s17,gpu-anchor-6x-do,student,configs/wide256-dropout.json,17,,7200,32,256,58982400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,212.2,0.3,,0.0,0,1.574273,,b5c4781814ca79f3900e07e471bc4bca1c976a78bfdaf7ccded4c776519a82f2,validation,cross-device bridge: repeat of wide256-6x-do (recorded 1.574134)
gpu-anchor-9x-do-s17,gpu-anchor-9x-do,student,configs/wide256-dropout.json,17,,10800,32,256,88473600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,325.8,0.3,,0.0,0,1.55183,,f1e08777277fcf2f7b9580a101da47b82157f4ff3da2dd10744204bd711bddfe,validation,cross-device bridge: repeat of wide256-9x-do (recorded 1.550847)
hp-lr-large-s17,hp-lr-large,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3019.6,16.3,,1.96,0,1.639726,,a8e18f6198a343a83e9d4a8c3282d16460d7ecdcb753c56d7601d022f4eedd80,validation,"HP sweep: peak lr 2e-3 (reference 1e-3), everything else unchanged"
hp-lr-small-s17,hp-lr-small,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3374.4,16.5,,1.87,0,1.653313,,fb09f1ecb864ae6274ab0c4b965b0d3faa97f8379801e55406e9558142be4dad,validation,"HP sweep: peak lr 5e-4 (reference 1e-3), everything else unchanged"
hp-wd-large-s17,hp-wd-large,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3031.4,16.4,,1.93,0,1.620735,,e13d8615f92e690e180c8d6ad9b1ce955989330a499812b8a4ab77208825360d,validation,"HP sweep: weight decay 0.3 (reference 0.1), everything else unchanged"
hp-wd-zero-s17,hp-wd-zero,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3034.2,16.5,,1.92,0,1.655608,,5600f46a05f14f6d844f9acc41f5fa3412064b594f659e33421fc9c5c0ea461c,validation,"HP sweep: weight decay 0 (reference 0.1), everything else unchanged"
modern-6x-s17,modern-6x,student,configs/modern.json,17,,7200,32,256,58982400,1049216,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3293.7,9.4,,1.62,0,1.684191,,1d3383d38dc924826b26cc523368a2f3036c2f69bbae37e1c3a6946c388e6edf,validation,"same architecture as modern, 6x training targets"
modern-long-s17,modern-long,student,configs/modern.json,17,,3600,32,256,29491200,1049216,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,2382.1,13.5,,1.63,0,1.713145,,28d492efd417ae42e616710a1b83145a3aaa5b3a90e18a8cbddce584fafbe038,validation,"same architecture as modern, 3x training targets"
modern-s17,modern,student,configs/modern.json,17,,1200,32,256,9830400,1049216,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,370.0,6.9,,1.56,0,1.84292,,0e3d718003b223682a841bfbb37c608ee0e80207b93b9e21a22be84f8ce0d7f3,validation,main method: RMSNorm + SwiGLU + RoPE + no bias
modern-s18,modern,student,configs/modern.json,18,,1200,32,256,9830400,1049216,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,385.1,7.2,,1.47,0,1.843929,,f57561947c8ddd376dc6f7ac7d8b5a047e49289cea011c6e0b987f34b062d544,validation,main method: RMSNorm + SwiGLU + RoPE + no bias
modern-s19,modern,student,configs/modern.json,19,,1200,32,256,9830400,1049216,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,381.2,6.9,,1.49,0,1.836439,,05146760fd46ac9b99b1b8a1fc049beb870d21810c86d88a41b2ecea82c58025,validation,main method: RMSNorm + SwiGLU + RoPE + no bias
threads-2t-s17,threads-2t,model,configs/baseline.json,17,,1200,32,256,9830400,1088256,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,515.2,9.4,,1.62,0,2.071088,,9c297319c70d2dede32a9cc87ff02d969a9476c259dda886b1a03f7398d6d6bc,validation,thread control: baseline seed 17 at 2 threads (direct 2T vs 4T comparison)
threads-4t-s17,threads-4t,model,configs/baseline.json,17,,1200,32,256,9830400,1088256,arm64 CPU / macOS-15.6-arm64-arm-64bit,4,fp32,340.9,6.5,,1.55,0,2.071088,,39cf35a0bafeab719d61b8d24b832520464d33faf4f4b2c0a77045372a7e551c,validation,thread control: baseline seed 17 at 4 threads (reproducibility check)
verify-baseline-cuda-s17,verify-baseline,model,configs/baseline.json,17,,1200,32,256,9830400,1088256,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,22.3,0.2,,0.0,0,2.071081,,6c87c74d3ebaa2e9b50d154be46df35f87f9e3b648ee1ebd01a745b8f1db5552,validation,"cross-device calibration: must reproduce 2.071088 (CPU, seed 17)"
verify-baseline-s17,verify-baseline,model,configs/baseline.json,17,,1200,32,256,9830400,1088256,x86_64 (AMD Ryzen 7 7840HS 8C/16T) / Windows CPU,8,fp32,363.2,5.7,,0.0,0,2.071083,,a49ab16892b7062b4013311a2348a1e95676f0a97fb16ce7777ed5f493c966d3,validation,"cross-device calibration: must reproduce 2.071088 (CPU, seed 17)"
wide192-s17,wide192,student,configs/wide192.json,17,,3600,32,256,29491200,2164416,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,2300.4,13.0,,1.78,0,1.662618,,6db7c3069413064d01f7244bd4cfa8b9219488cd0dd3ce2a654c69a1223f63d5,validation,"modern recipe at 2.06x parameters, 3x training targets"
wide256-12x-do-s17,wide256-12x-do,student,configs/wide256-dropout.json,17,,14400,32,256,117964800,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,432.7,0.3,,0.0,0,1.542373,,164af653b9ba70b94b7505f1b44d1286c5100af50ab8d61bbefc6a64fdea5530,validation,"length axis: 12x + dropout 0.1, to locate the peak above 9x"
wide256-12x-warmup500-s17,wide256-12x-warmup500,student,configs/wide256-dropout.json,17,,14400,32,256,117964800,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,437.2,0.4,,0.0,0,1.544672,,6c1ea014c0931168f820c7a5709e4c73f13733cd6acb001207fca0d15872adad,validation,warmup sweep: 500 steps instead of 100 (never varied before)
wide256-12x-wd03-s17,wide256-12x-wd03,student,configs/wide256-dropout.json,17,,14400,32,256,117964800,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,422.7,0.3,,0.0,0,1.528085,,49a5998f6ba571e15d634e926777df43d307df9eb6b809acc7fa2368082a850c,validation,weight decay 0.3 combined with dropout at 12x (wd was confirmed at 3x)
wide256-16x-batch64-s17,wide256-16x-batch64,student,configs/wide256-dropout.json,17,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,288.3,0.3,,0.0,0,1.550404,,8db551bfadca31480ee89adb808e18e8eee7ced47725ee791ed8cb7d3c287d44,validation,batch-size sweep: 64 instead of 32 at the same 16x target budget
wide256-16x-do-s17,wide256-16x-do,student,configs/wide256-dropout.json,17,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,581.2,0.3,,0.0,0,1.537587,,bc0806fc9c3d90ba681e12b5e82ad985b830b9deb2f1765ab09c728335498457,validation,"length axis: 16x + dropout 0.1, above the 12x probe"
wide256-16x-do-s18,wide256-16x-do-s18,student,configs/wide256-dropout.json,18,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,575.9,0.3,,0.0,0,1.541989,,0e29fcb5bc0f3c77a90b0b029dbe2603373d7667e83ac1e0efbcfaf696633570,validation,seed + ensemble member of 16x + dropout 0.1 (noise floor at the operating point)
wide256-16x-do-s19,wide256-16x-do-s19,student,configs/wide256-dropout.json,19,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,575.7,0.3,,0.0,0,1.537031,,f698144cbb19b41c58e1dc33b15ca723b5a28156e635345b229f6980c1b93fa2,validation,seed + ensemble member of 16x + dropout 0.1 (noise floor at the operating point)
wide256-16x-do-s20,wide256-16x-do-s20,student,configs/wide256-dropout.json,20,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,590.9,0.3,,0.0,0,1.542812,,46b875a4a00440f47fd0342ca74d685bebdc302a8596799d02d1c0b5203d65b5,validation,seed + ensemble member of 16x + dropout 0.1 (noise floor at the operating point)
wide256-16x-do-wd03-s17,wide256-16x-do-wd03,student,configs/wide256-dropout.json,17,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,581.0,0.3,,0.0,0,1.520393,,aea9afa62b93dfd960b51e933d038cc86392b9f4e9f7ea101d875e7a017b7c1f,validation,stack both levers at the long end: 16x + dropout 0.1 + weight decay 0.3
wide256-16x-do15-s17,wide256-16x-do15,student,configs/wide256-dropout15.json,17,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,584.2,0.3,,0.0,0,1.529514,,4117dbc8193adbf9c68d9d277e5b8240c7cd08e37016eff77bab5aa614d69ef8,validation,dropout sweep at 16x: dropout 0.15
wide256-16x-do20-s17,wide256-16x-do20,student,configs/wide256-dropout20.json,17,,19200,32,256,157286400,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,584.8,0.3,,0.0,0,1.548067,,43602c393eb084314655df8ce32df6bfd29cd8567d36ae3fc47c249322f330a3,validation,dropout sweep at 16x: dropout 0.2
wide256-20x-do-s17,wide256-20x-do,student,configs/wide256-dropout.json,17,,24000,32,256,196608000,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,716.9,0.3,,0.0,0,1.5331,,f39a278841014119d46300d90f234a3fb3510d54cf605eab7da077aefb5710f9,validation,length axis: 20x + dropout 0.1 (fills the 16x-24x gap)
wide256-24x-do-s17,wide256-24x-do,student,configs/wide256-dropout.json,17,,28800,32,256,235929600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,867.0,0.3,,0.0,0,1.531583,,27b8fdb55b6cf0b3502570a3ab356b1dbe0f5ec82b328b77e6c7f8b399545e3e,validation,"length axis: 24x + dropout 0.1, to bracket the peak"
wide256-24x-do-wd03-s17,wide256-24x-do-wd03,student,configs/wide256-dropout.json,17,,28800,32,256,235929600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,858.5,0.3,,0.0,0,1.51131,,fcd5a06b143efbc42fe03a5872e092a6e30e11e955a554a95014b61dc4010e29,validation,stack both levers at the long end: 24x + dropout 0.1 + weight decay 0.3
wide256-32x-do-s17,wide256-32x-do,student,configs/wide256-dropout.json,17,,38400,32,256,314572800,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,1148.7,0.3,,0.0,0,1.529183,,bffb8c60735b83cda8199726edf03f3448a0f56ab5c0098f85f05d8ccc905cc9,validation,length axis: 32x + dropout 0.1 (brackets the peak from above)
wide256-6x-do-s17,wide256-6x-do,student,configs/wide256-dropout.json,17,,7200,32,256,58982400,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,8284.4,16.2,,2.46,0,1.574134,,b57d2c1d717e43142fe5fbbdc6ed25d429bf2deee0ac287aa79a5b6dc3ccca83,validation,"width 256 at 6x targets with dropout 0.1, against demonstrated overfitting"
wide256-6x-s17,wide256-6x,student,configs/wide256.json,17,,7200,32,256,58982400,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,6183.3,16.4,,1.82,0,1.693554,,e24cfcc452dbdb6f8156d5b09069774e6c2a192326138957de8fd2b3b0fce60a,validation,3.5x parameters AND 6x training targets
wide256-9x-do-s17,wide256-9x-do,student,configs/wide256-dropout.json,17,,10800,32,256,88473600,3673344,x86_64 (AMD Ryzen 7 7840HS 8C/16T) / Windows CPU,8,fp32,20147.0,13.6,,0.0,0,1.550847,,693e75f0666bd2a39efcf000abb9c6c7ee0a00d0247b11a0a3faf0dacd4b114d,validation,"training-length axis under dropout: 9x budget, dropout 0.1 (6x+do already won)"
wide256-9x-do15-s17,wide256-9x-do15,student,configs/wide256-dropout15.json,17,,10800,32,256,88473600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,321.3,0.3,,0.0,0,1.551268,,b433b5ecb2190112cd506979ced00e7ac3b91523c529b0d7673028764fb8bc64,validation,dropout sweep at 9x: dropout 0.15
wide256-9x-do20-s17,wide256-9x-do20,student,configs/wide256-dropout20.json,17,,10800,32,256,88473600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,320.6,0.3,,0.0,0,1.575391,,bc73dddb464d1337c5afce5a6fa7078c5a00904459f37908e2fdf57daef938fc,validation,dropout sweep at 9x: dropout 0.2
wide256-9x-wd05-s17,wide256-9x-wd05,student,configs/wide256-dropout.json,17,,10800,32,256,88473600,3673344,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,324.3,0.3,,0.0,0,1.558091,,cdb5853e30497fe8ab3615c7f9a9290fb45c51773fb3747eb526f92583ddc754,validation,weight-decay sweep at 9x: weight decay 0.5
wide256-s17,wide256,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3120.6,17.0,,1.92,0,1.641426,,22f4816f9a5816899f216a1e28efbc1180de03b7b9e41079e6fed3f084e490a0,validation,"modern recipe at 3.5x parameters, 3x training targets"
wide256-s18,wide256-seeds,student,configs/wide256.json,18,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3016.7,16.3,,1.97,0,1.650016,,397838064f39dc29c371867a4cc8461506d821bb7a32dcb351a8730287ed3af9,validation,extra seeds for the best config: 3-seed stats + ensemble/soup members
wide256-s19,wide256-seeds,student,configs/wide256.json,19,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3026.8,16.1,,2.0,0,1.643165,,96afa4267108cd63d89fffd4608261fbf9e8edb90aa8a02cc33d4f1012889481,validation,extra seeds for the best config: 3-seed stats + ensemble/soup members
wide256-wd03-s17,hp-wd-large,student,configs/wide256.json,17,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3031.4,16.4,,1.93,0,1.620735,,e13d8615f92e690e180c8d6ad9b1ce955989330a499812b8a4ab77208825360d,validation,"HP sweep: weight decay 0.3 (reference 0.1), everything else unchanged"
wide256-wd03-s18,wide256-wd03,student,configs/wide256.json,18,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3056.5,16.4,,1.99,0,1.629376,,290e2241ab4a124ea12a6a9016417c9600714cde3ed65dd7a55e8e2128818067,validation,"seed confirmation of the best recipe so far: 3x budget, weight decay 0.3"
wide256-wd03-s19,wide256-wd03,student,configs/wide256.json,19,,3600,32,256,29491200,3673344,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3064.2,16.0,,1.99,0,1.622032,,d4217210241745f6915f78e6bdc55e1769f8395dbbcb5de21f1e67a956c14332,validation,"seed confirmation of the best recipe so far: 3x budget, weight decay 0.3"
wide320-12x-do-s17,wide320-12x-do,student,configs/wide320-dropout.json,17,,14400,32,256,117964800,5572160,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,435.1,0.4,,0.0,0,1.560085,,80c647332d6185d277743a4cce9fa87806aec1dda0f1b8374ca69298ebd34e8c,validation,size axis revisited: width 320 (5.57M) at 12x + dropout 0.1
wide320-16x-do-s17,wide320-16x-do,student,configs/wide320-dropout.json,17,,19200,32,256,157286400,5572160,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,571.4,0.3,,0.0,0,1.560924,,eb2205ab637fc219eebfb5d5953966257d1948bebe46ba80e26c874e10703bd4,validation,size x length: width 320 (5.57M) at 16x + dropout 0.1
wide320-6x-s17,wide320-6x,student,configs/wide320.json,17,,7200,32,256,58982400,5572160,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,7773.4,22.6,,1.7,0,1.765685,,6f49854714a569d8e55f0ea308eef52c1c36d1c69add057c77a395e5d0367658,validation,5.3x parameters AND 6x training targets
wide320-s17,wide320,student,configs/wide320.json,17,,3600,32,256,29491200,5572160,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,3927.2,19.4,,1.7,0,1.642841,,6f0bc812af341f5b14b1bc9f2bea05f3c3036f3beca77beee03d897f366d11f6,validation,"modern recipe at 5.3x parameters, 3x training targets"
wide384-12x-do-s17,wide384-12x-do,student,configs/wide384-dropout.json,17,,14400,32,256,117964800,7867776,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,429.1,0.4,,0.0,0,1.577331,,10f1f855d5e4b069981eea174232289bd9382f89182a7a93704936db4b480890,validation,size axis at 12x: width 384 (7.87M) + dropout 0.1
wide384-16x-do-s17,wide384-16x-do,student,configs/wide384-dropout.json,17,,19200,32,256,157286400,7867776,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,584.9,0.5,,0.0,0,1.596027,,c9fc6910438d2fee89f03d552d203aa967142cadea3a7f10ef79ccc7bca3957e,validation,size x length: width 384 (7.87M) at 16x + dropout 0.1
wide448-12x-do-s17,wide448-12x-do,student,configs/wide448-dropout.json,17,,14400,32,256,117964800,10557120,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,449.3,0.5,,0.0,0,1.593073,,a51b154b491367d9bae9e595e4e3a9ad501ba42d3db984b846192b8d066f4cc4,validation,"size axis at 12x: width 448 (10.55M) + dropout 0.1, near the asset budget"
wide448-16x-do-s17,wide448-16x-do,student,configs/wide448-dropout.json,17,,19200,32,256,157286400,10557120,x86_64 (Xeon 8358P) + RTX 4090 / CUDA training,8,fp32,589.7,0.5,,0.0,0,1.624646,,6f0a9a1abe108179e5d077ab90d9c69c2936c466a8ec626827abdc497c63490c,validation,size x length: width 448 (10.55M) at 16x + dropout 0.1 (asset budget ceiling)
